date,open,high,low,close,volume
2024-01-02,2063.50,2073.70,2057.10,2064.40,61
2024-01-03,2034.20,2044.00,2034.20,2034.20,54
2024-01-04,2041.60,2044.50,2038.00,2042.30,88
2024-01-05,2044.50,2048.10,2042.40,2042.40,12
2024-01-08,2019.10,2033.70,2019.10,2026.60,10
2024-01-09,2035.80,2035.80,2026.40,2026.40,27
2024-01-10,2029.00,2035.60,2021.70,2021.70,538
2024-01-11,2025.10,2025.10,2014.30,2014.30,97
2024-01-12,2031.10,2057.00,2031.10,2046.70,390
2024-01-16,2051.70,2054.80,2026.00,2026.00,46
2024-01-17,2026.50,2026.50,2002.60,2002.60,764
2024-01-18,2012.80,2018.60,2009.50,2018.60,1474
2024-01-19,2023.20,2036.00,2019.50,2026.50,50
2024-01-22,2021.30,2021.30,2019.80,2019.80,12
2024-01-23,2030.30,2030.30,2022.50,2023.70,15
2024-01-24,2023.20,2033.20,2013.90,2013.90,253
2024-01-25,2012.10,2022.40,2012.10,2016.90,548
2024-01-26,2021.70,2022.40,2016.80,2016.80,49
2024-01-29,2025.20,2025.20,2025.20,2025.20,150708
2024-01-30,2032.50,2048.50,2028.10,2031.50,26907
2024-01-31,2035.40,2055.00,2030.00,2048.40,2007
2024-02-01,2040.20,2064.50,2029.00,2053.00,947
2024-02-02,2054.80,2055.90,2027.70,2036.10,888
2024-02-05,2038.90,2040.80,2013.80,2025.70,412
2024-02-06,2025.90,2037.30,2025.90,2034.50,249
2024-02-07,2032.80,2039.50,2032.70,2035.20,71
2024-02-08,2028.00,2036.70,2020.30,2032.20,341
2024-02-09,2032.00,2032.00,2020.00,2023.30,62
2024-02-12,2025.50,2025.50,2011.60,2018.20,317
2024-02-13,2025.10,2025.80,1990.00,1992.90,198
2024-02-14,1990.30,1993.50,1984.80,1990.30,1916
2024-02-15,1993.60,2007.20,1993.60,2002.10,286
2024-02-16,2005.00,2011.50,1996.50,2011.50,32
2024-02-20,2015.60,2029.00,2015.60,2027.50,1326
2024-02-21,2028.20,2028.20,2022.30,2022.30,15
2024-02-22,2033.20,2033.20,2019.70,2019.70,964
2024-02-23,2026.00,2038.60,2014.90,2038.60,22
2024-02-26,2034.10,2035.40,2024.80,2028.50,143
2024-02-27,2035.90,2035.90,2034.00,2034.00,964
2024-02-28,2029.50,2037.00,2024.80,2033.00,581
2024-02-29,2034.30,2049.80,2034.30,2045.70,706
